age,year,people_num
10,2016,442495
11,2016,454675.5
12,2016,483306
13,2016,493662
14,2016,526521
15,2016,598557
16,2016,628497.5
17,2016,628457.5
18,2016,653811
19,2016,676231
20,2016,694059.5
21,2016,707930
22,2016,708689
23,2016,714033
24,2016,709972
25,2016,667482
26,2016,632002
27,2016,624859.5
28,2016,618048
29,2016,618877
30,2016,636374
0,2017,369710.5
1,2017,425705
2,2017,440967
3,2017,439957
4,2017,464792
5,2017,482297
6,2017,474368
7,2017,460371.5
8,2017,457979
9,2017,481854
10,2017,472316.5
11,2017,442523.5
12,2017,454655.5
13,2017,483215
14,2017,493509.5
15,2017,526372
16,2017,598288.5
17,2017,628103.5
18,2017,628040
19,2017,653303.5
20,2017,675631.5
21,2017,693647
22,2017,707546.5
23,2017,708307.5
24,2017,713826.5
25,2017,709758
26,2017,667453.5
27,2017,632076.5
28,2017,624845.5
29,2017,618139
30,2017,618977.5
0,2018,331722
1,2018,385664
2,2018,426981
3,2018,441487
4,2018,440314.5
5,2018,464973
6,2018,482491
7,2018,474414.5
8,2018,460424
9,2018,458025.5
10,2018,481847
11,2018,472301.5
12,2018,442482
13,2018,454542.5
14,2018,483014
15,2018,493268.5
16,2018,526025
17,2018,597753.5
18,2018,627485
19,2018,627494
20,2018,652767
21,2018,675141
22,2018,693229.5
23,2018,707165.5
24,2018,708107.5
25,2018,713607
26,2018,709770
27,2018,667526
28,2018,632138
29,2018,624923.5
30,2018,618248
0,2019,306395.5
1,2019,346237.5
2,2019,386969.5
3,2019,427661
4,2019,441919
5,2019,440543.5
6,2019,465153
7,2019,482541
8,2019,474492.5
9,2019,460448.5
10,2019,458034
11,2019,481829
12,2019,472274
13,2019,442398
14,2019,454393.5
15,2019,482778
16,2019,492928
17,2019,525496.5
18,2019,597072
19,2019,627020
20,2019,627061.5
21,2019,652265
22,2019,674713
23,2019,692849
24,2019,706912.5
25,2019,707870
26,2019,713595.5
27,2019,709696.5
28,2019,667537
29,2019,632178
30,2019,624960
0,2020,280097
1,2020,317767
2,2020,347171
3,2020,387521.5
4,2020,428081
5,2020,442190
6,2020,440736
7,2020,465263.5
8,2020,482644
9,2020,474555
10,2020,460514
11,2020,458038
12,2020,481860
13,2020,472246.5
14,2020,442325.5
15,2020,454244.5
16,2020,482531
17,2020,492529
18,2020,525005
19,2020,596703
20,2020,626665.5
21,2020,626657
22,2020,651921.5
23,2020,674412
24,2020,692609
25,2020,706635.5
26,2020,707795.5
27,2020,713499.5
28,2020,709648
29,2020,667601
30,2020,632261
0,2021,"260,190"
1,2021,"300,931"
2,2021,"329,568"
3,2021,"360,632"
4,2021,"407,784"
5,2021,"441,998"
6,2021,"441,472"
7,2021,"438,512"
8,2021,"489,238"
9,2021,"473,919"
10,2021,"478,678"
11,2021,"447,165"
12,2021,"466,561"
13,2021,"499,496"
14,2021,"453,105"
15,2021,"435,661"
16,2021,"469,574"
17,2021,"493,051"
18,2021,"490,887"
19,2021,"550,210"
20,2021,"633,243"
21,2021,"622,050"
22,2021,"636,538"
23,2021,"667,336"
24,2021,"680,418"
25,2021,"707,336"
26,2021,"710,034"
27,2021,"709,579"
28,2021,"722,422"
29,2021,"703,527"
30,2021,"645,746"
0,2022,"250,187"
1,2022,"272,891"
2,2022,"302,478"
3,2022,"330,163"
4,2022,"361,017"
5,2022,"408,093"
6,2022,"442,185"
7,2022,"441,645"
8,2022,"438,621"
9,2022,"489,362"
10,2022,"473,995"
11,2022,"478,737"
12,2022,"447,205"
13,2022,"466,555"
14,2022,"499,406"
15,2022,"452,978"
16,2022,"435,422"
17,2022,"469,108"
18,2022,"492,285"
19,2022,"490,311"
20,2022,"549,728"
21,2022,"632,667"
22,2022,"621,530"
23,2022,"635,992"
24,2022,"666,761"
25,2022,"679,673"
26,2022,"706,680"
27,2022,"709,319"
28,2022,"708,835"
29,2022,"721,526"
30,2022,"702,703"
