sex,age,age_month,L_weight,M_weight,S_weight
1,,135,0.0726,41.4706,0.1981
1,,136,0.0851,41.8894,0.1986
1,,137,0.0973,42.3083,0.1991
1,,138,0.1071,42.7515,0.1992
1,,139,0.1168,43.1947,0.1994
1,,140,0.1263,43.638,0.1996
1,,141,0.1356,44.0813,0.1997
1,,142,0.1448,44.5248,0.1999
1,,143,0.1538,44.9684,0.2
1,12,144,0.1618,45.4253,0.1998
1,,145,0.1698,45.8824,0.1995
1,,146,0.1777,46.3396,0.1993
1,,147,0.1855,46.7968,0.1991
1,,148,0.1932,47.2542,0.1988
1,,149,0.2009,47.7116,0.1986
1,,150,0.2081,48.1693,0.198
1,,151,0.2154,48.6271,0.1974
1,,152,0.2226,49.085,0.1969
1,,153,0.2299,49.5431,0.1963
1,,154,0.2372,50.0012,0.1957
1,,155,0.2445,50.4595,0.1952
1,13,156,0.2503,50.9021,0.1942
1,,157,0.2562,51.3448,0.1932
1,,158,0.2622,51.7875,0.1923
1,,159,0.2683,52.2304,0.1914
1,,160,0.2745,52.6733,0.1904
1,,161,0.2808,53.1164,0.1895
1,,162,0.2841,53.5329,0.1882
1,,163,0.2876,53.9495,0.1869
1,,164,0.2911,54.366,0.1856
1,,165,0.2948,54.7826,0.1843
1,,166,0.2986,55.1993,0.183
1,,167,0.3026,55.6159,0.1818
1,14,168,0.3023,55.9927,0.1802
1,,169,0.302,56.3694,0.1787
1,,170,0.3019,56.7462,0.1772
1,,171,0.3019,57.1229,0.1757
1,,172,0.3019,57.4995,0.1742
1,,173,0.3021,57.8762,0.1727
1,,174,0.2993,58.2029,0.1711
1,,175,0.2965,58.5296,0.1696
1,,176,0.2938,58.8563,0.168
1,,177,0.2911,59.1829,0.1665
1,,178,0.2885,59.5096,0.165
1,,179,0.2859,59.8362,0.1635
1,15,180,0.2818,60.1106,0.162
1,,181,0.2777,60.385,0.1606
1,,182,0.2736,60.6594,0.1591
1,,183,0.2695,60.9338,0.1577
1,,184,0.2654,61.2081,0.1563
1,,185,0.2613,61.4825,0.1549
1,,186,0.2514,61.7129,0.1537
1,,187,0.2412,61.9434,0.1525
1,,188,0.231,62.1739,0.1513
1,,189,0.2207,62.4045,0.1501
1,,190,0.2102,62.6351,0.1489
1,,191,0.1996,62.8658,0.1477
1,16,192,0.1829,63.055,0.1468
1,,193,0.166,63.2442,0.1459
1,,194,0.1489,63.4335,0.145
1,,195,0.1316,63.6229,0.1441
1,,196,0.1141,63.8123,0.1432
1,,197,0.0964,64.0018,0.1424
1,,198,0.0862,64.1526,0.1418
1,,199,0.0759,64.3033,0.1413
1,,200,0.0655,64.4539,0.1407
1,,201,0.055,64.6045,0.1402
1,,202,0.0444,64.7551,0.1397
1,,203,0.0337,64.9057,0.1391
1,17,204,0.0282,65.0469,0.1387
1,,205,0.0226,65.188,0.1382
1,,206,0.0169,65.3291,0.1377
1,,207,0.0113,65.4702,0.1373
1,,208,0.0055,65.6113,0.1368
1,,209,-0.0003,65.7523,0.1364
1,,210,-0.0068,65.8907,0.1359
1,,211,-0.0134,66.0291,0.1355
1,,212,-0.02,66.1674,0.1351
1,,213,-0.0267,66.3057,0.1346
1,,214,-0.0335,66.4439,0.1342
1,,215,-0.0403,66.5821,0.1338
1,18,216,-0.0469,66.7186,0.1334
1,,217,-0.0535,66.8551,0.133
1,,218,-0.0602,66.9915,0.1326
1,,219,-0.0669,67.1278,0.1322
1,,220,-0.0738,67.2641,0.1318
1,,221,-0.0807,67.4004,0.1314
1,,222,-0.0859,67.5362,0.1311
1,,223,-0.0911,67.6719,0.1307
1,,224,-0.0965,67.8077,0.1303
1,,225,-0.1018,67.9434,0.1299
1,,226,-0.1072,68.079,0.1296
1,,227,-0.1127,68.2146,0.1292
2,0,0,0.3809,3.2322,0.1417
2,,1,0.1714,4.1873,0.1372
2,,2,0.0962,5.1282,0.13
2,,3,0.0402,5.8458,0.1262
2,,4,-0.005,6.4237,0.124
2,,5,-0.043,6.8985,0.1227
2,,6,-0.0756,7.297,0.122
2,,7,-0.1039,7.6422,0.1218
2,,8,-0.1288,7.9487,0.1218
2,,9,-0.1507,8.2254,0.122
2,,10,-0.17,8.48,0.1222
2,,11,-0.1872,8.7192,0.1225
2,1,12,-0.2024,8.9481,0.1227
2,,13,-0.2158,9.1699,0.1228
2,,14,-0.2278,9.387,0.1229
2,,15,-0.2384,9.6008,0.123
2,,16,-0.2478,9.8124,0.123
2,,17,-0.2562,10.0226,0.1231
2,,18,-0.2637,10.2315,0.1231
2,,19,-0.2703,10.4393,0.1232
2,,20,-0.2762,10.6464,0.1232
2,,21,-0.2815,10.8534,0.1234
2,,22,-0.2862,11.0608,0.1235
2,,23,-0.2903,11.2688,0.1237
2,2,24,-0.2941,11.4775,0.1239
2,,25,-0.2975,11.6864,0.1241
2,,26,-0.3005,11.8947,0.1244
2,,27,-0.3032,12.1015,0.1247
2,,28,-0.3057,12.3059,0.1251
2,,29,-0.308,12.5073,0.1255
2,,30,-0.3101,12.7055,0.1259
2,,31,-0.312,12.9006,0.1263
2,,32,-0.3138,13.093,0.1268
2,,33,-0.3155,13.2837,0.1274
2,,34,-0.3171,13.4731,0.1279
2,,35,-0.3186,13.6618,0.1286
2,3,36,0.5656,14.1998,0.0991
2,,37,0.4441,14.3701,0.1004
2,,38,0.3317,14.5405,0.1017
2,,39,0.2276,14.7108,0.103
2,,40,0.1312,14.8813,0.1042
2,,41,0.0419,15.0518,0.1053
